reg;region_name;cl_age90;jour;hosp;rea;rad;dc
1;Guadeloupe;59;18/04/2020;5;4;17;2
1;Guadeloupe;69;18/04/2020;8;4;14;2
1;Guadeloupe;79;18/04/2020;9;6;10;4
1;Guadeloupe;89;18/04/2020;7;2;10;3
1;Guadeloupe;90;18/04/2020;0;0;0;0
1;Guadeloupe;0;19/04/2020;34;17;61;11
1;Guadeloupe;9;19/04/2020;0;0;0;0
1;Guadeloupe;19;19/04/2020;1;0;1;0
1;Guadeloupe;29;19/04/2020;0;0;1;0
1;Guadeloupe;39;19/04/2020;1;0;3;0
1;Guadeloupe;49;19/04/2020;2;1;4;0
1;Guadeloupe;59;19/04/2020;5;4;17;2
1;Guadeloupe;69;19/04/2020;8;4;14;2
1;Guadeloupe;79;19/04/2020;10;6;10;4
1;Guadeloupe;89;19/04/2020;7;2;10;3
1;Guadeloupe;90;19/04/2020;0;0;0;0
1;Guadeloupe;0;20/04/2020;32;16;62;12
1;Guadeloupe;9;20/04/2020;0;0;0;0
1;Guadeloupe;19;20/04/2020;1;0;1;0
1;Guadeloupe;29;20/04/2020;0;0;1;0
1;Guadeloupe;39;20/04/2020;1;0;3;0
1;Guadeloupe;49;20/04/2020;2;1;4;0
1;Guadeloupe;59;20/04/2020;5;3;17;2
1;Guadeloupe;69;20/04/2020;6;4;15;3
1;Guadeloupe;79;20/04/2020;10;6;10;4
1;Guadeloupe;89;20/04/2020;7;2;10;3
1;Guadeloupe;90;20/04/2020;0;0;0;0
1;Guadeloupe;0;21/04/2020;24;15;68;12
1;Guadeloupe;9;21/04/2020;0;0;0;0
1;Guadeloupe;19;21/04/2020;0;0;2;0
1;Guadeloupe;29;21/04/2020;0;0;1;0
1;Guadeloupe;39;21/04/2020;1;0;3;0
1;Guadeloupe;49;21/04/2020;1;1;5;0
1;Guadeloupe;59;21/04/2020;3;2;18;2
1;Guadeloupe;69;21/04/2020;5;4;16;3
1;Guadeloupe;79;21/04/2020;9;6;10;4
1;Guadeloupe;89;21/04/2020;5;2;12;3
1;Guadeloupe;90;21/04/2020;0;0;0;0
1;Guadeloupe;0;22/04/2020;25;13;69;12
1;Guadeloupe;9;22/04/2020;0;0;0;0
1;Guadeloupe;19;22/04/2020;0;0;2;0
1;Guadeloupe;29;22/04/2020;0;0;1;0
1;Guadeloupe;39;22/04/2020;1;0;3;0
1;Guadeloupe;49;22/04/2020;1;1;5;0
1;Guadeloupe;59;22/04/2020;3;1;18;2
1;Guadeloupe;69;22/04/2020;5;4;17;2
1;Guadeloupe;79;22/04/2020;9;5;10;5
1;Guadeloupe;89;22/04/2020;6;2;12;3
1;Guadeloupe;90;22/04/2020;0;0;0;0
1;Guadeloupe;0;23/04/2020;24;14;70;12
1;Guadeloupe;9;23/04/2020;0;0;0;0
1;Guadeloupe;19;23/04/2020;0;0;2;0
1;Guadeloupe;29;23/04/2020;0;0;1;0
1;Guadeloupe;39;23/04/2020;1;0;3;0
1;Guadeloupe;49;23/04/2020;1;1;5;0
1;Guadeloupe;59;23/04/2020;3;1;18;2
1;Guadeloupe;69;23/04/2020;6;4;17;2
1;Guadeloupe;79;23/04/2020;7;5;11;5
1;Guadeloupe;89;23/04/2020;6;3;12;3
1;Guadeloupe;90;23/04/2020;0;0;0;0
1;Guadeloupe;0;24/04/2020;23;13;70;13
1;Guadeloupe;9;24/04/2020;0;0;0;0
1;Guadeloupe;19;24/04/2020;0;0;2;0
1;Guadeloupe;29;24/04/2020;0;0;1;0
1;Guadeloupe;39;24/04/2020;1;0;3;0
1;Guadeloupe;49;24/04/2020;1;1;5;0
1;Guadeloupe;59;24/04/2020;3;1;18;2
1;Guadeloupe;69;24/04/2020;6;4;17;2
1;Guadeloupe;79;24/04/2020;6;4;11;6
1;Guadeloupe;89;24/04/2020;6;3;12;3
1;Guadeloupe;90;24/04/2020;0;0;0;0
1;Guadeloupe;0;25/04/2020;22;11;70;13
1;Guadeloupe;9;25/04/2020;0;0;0;0
1;Guadeloupe;19;25/04/2020;0;0;2;0
1;Guadeloupe;29;25/04/2020;0;0;1;0
1;Guadeloupe;39;25/04/2020;1;0;3;0
1;Guadeloupe;49;25/04/2020;1;1;5;0
1;Guadeloupe;59;25/04/2020;3;1;18;2
1;Guadeloupe;69;25/04/2020;6;4;17;2
1;Guadeloupe;79;25/04/2020;5;2;11;6
1;Guadeloupe;89;25/04/2020;6;3;12;3
1;Guadeloupe;90;25/04/2020;0;0;0;0
1;Guadeloupe;0;26/04/2020;23;11;70;13
1;Guadeloupe;9;26/04/2020;0;0;0;0
1;Guadeloupe;19;26/04/2020;0;0;2;0
1;Guadeloupe;29;26/04/2020;0;0;1;0
1;Guadeloupe;39;26/04/2020;1;0;3;0
1;Guadeloupe;49;26/04/2020;1;1;5;0
1;Guadeloupe;59;26/04/2020;3;1;18;2
1;Guadeloupe;69;26/04/2020;6;3;17;2
1;Guadeloupe;79;26/04/2020;6;3;11;6
1;Guadeloupe;89;26/04/2020;6;3;12;3
1;Guadeloupe;90;26/04/2020;0;0;0;0
1;Guadeloupe;0;27/04/2020;22;10;70;14
1;Guadeloupe;9;27/04/2020;0;0;0;0
1;Guadeloupe;19;27/04/2020;0;0;2;0
1;Guadeloupe;29;27/04/2020;0;0;1;0
1;Guadeloupe;39;27/04/2020;1;0;3;0
1;Guadeloupe;49;27/04/2020;0;0;5;0
1;Guadeloupe;59;27/04/2020;3;1;18;2
1;Guadeloupe;69;27/04/2020;6;3;17;2
1;Guadeloupe;79;27/04/2020;6;3;11;7
1;Guadeloupe;89;27/04/2020;6;3;12;3
1;Guadeloupe;90;27/04/2020;0;0;0;0
1;Guadeloupe;0;28/04/2020;22;10;70;14
1;Guadeloupe;9;28/04/2020;0;0;0;0
1;Guadeloupe;19;28/04/2020;0;0;2;0
1;Guadeloupe;29;28/04/2020;0;0;1;0
1;Guadeloupe;39;28/04/2020;1;0;3;0
1;Guadeloupe;49;28/04/2020;0;0;5;0
1;Guadeloupe;59;28/04/2020;3;1;18;2
1;Guadeloupe;69;28/04/2020;6;3;17;2
1;Guadeloupe;79;28/04/2020;6;3;11;7
1;Guadeloupe;89;28/04/2020;6;3;12;3
1;Guadeloupe;90;28/04/2020;0;0;0;0
1;Guadeloupe;0;29/04/2020;21;10;72;14
1;Guadeloupe;9;29/04/2020;0;0;0;0
1;Guadeloupe;19;29/04/2020;0;0;2;0
1;Guadeloupe;29;29/04/2020;0;0;1;0
1;Guadeloupe;39;29/04/2020;1;0;3;0
1;Guadeloupe;49;29/04/2020;0;0;5;0
1;Guadeloupe;59;29/04/2020;3;1;18;2
1;Guadeloupe;69;29/04/2020;6;3;17;2
1;Guadeloupe;79;29/04/2020;5;3;12;7
1;Guadeloupe;89;29/04/2020;5;2;13;3
1;Guadeloupe;90;29/04/2020;1;1;0;0
1;Guadeloupe;0;01/05/2020;16;6;72;17
1;Guadeloupe;9;01/05/2020;0;0;0;0
1;Guadeloupe;19;01/05/2020;0;0;2;0
1;Guadeloupe;29;01/05/2020;0;0;1;0
1;Guadeloupe;39;01/05/2020;1;0;3;0
1;Guadeloupe;49;01/05/2020;0;0;5;0
1;Guadeloupe;59;01/05/2020;1;0;18;3
1;Guadeloupe;69;01/05/2020;6;3;17;2
1;Guadeloupe;79;01/05/2020;4;2;12;7
1;Guadeloupe;89;01/05/2020;4;1;13;4
1;Guadeloupe;90;01/05/2020;0;0;0;1
1;Guadeloupe;0;02/05/2020;16;6;72;17
1;Guadeloupe;9;02/05/2020;0;0;0;0
1;Guadeloupe;19;02/05/2020;0;0;2;0
1;Guadeloupe;29;02/05/2020;0;0;1;0
1;Guadeloupe;39;02/05/2020;1;0;3;0
1;Guadeloupe;49;02/05/2020;0;0;5;0
1;Guadeloupe;59;02/05/2020;1;0;18;3
1;Guadeloupe;69;02/05/2020;6;3;17;2
1;Guadeloupe;79;02/05/2020;4;2;12;7
1;Guadeloupe;89;02/05/2020;4;1;13;4
1;Guadeloupe;90;02/05/2020;0;0;0;1
1;Guadeloupe;0;03/05/2020;16;6;72;17
1;Guadeloupe;9;03/05/2020;0;0;0;0
1;Guadeloupe;19;03/05/2020;0;0;2;0
1;Guadeloupe;29;03/05/2020;0;0;1;0
1;Guadeloupe;39;03/05/2020;1;0;3;0
1;Guadeloupe;49;03/05/2020;0;0;5;0
1;Guadeloupe;59;03/05/2020;1;0;18;3
1;Guadeloupe;69;03/05/2020;6;3;17;2
1;Guadeloupe;79;03/05/2020;4;2;12;7
1;Guadeloupe;89;03/05/2020;4;1;13;4
1;Guadeloupe;90;03/05/2020;0;0;0;1
1;Guadeloupe;0;04/05/2020;16;6;72;17
1;Guadeloupe;9;04/05/2020;0;0;0;0
1;Guadeloupe;19;04/05/2020;0;0;2;0
1;Guadeloupe;29;04/05/2020;0;0;1;0
1;Guadeloupe;39;04/05/2020;1;0;3;0
1;Guadeloupe;49;04/05/2020;0;0;5;0
1;Guadeloupe;59;04/05/2020;1;0;18;3
